feature,importance,importance_pct
safety_culture_index,0.05555555555555555,5.555555555555555
near_miss_rate,0.05555555555555555,5.555555555555555
near_miss_rate_4wk_avg,0.05555555555555555,5.555555555555555
inspection_score,0.05555555555555555,5.555555555555555
inspection_score_trend,0.05555555555555555,5.555555555555555
action_closeout_rate,0.05555555555555555,5.555555555555555
training_compliance_pct,0.05555555555555555,5.555555555555555
training_trend,0.05555555555555555,5.555555555555555
ptw_compliance_rate,0.05555555555555555,5.555555555555555
unsafe_act_count,0.05555555555555555,5.555555555555555
unsafe_condition_count,0.05555555555555555,5.555555555555555
overdue_actions,0.05555555555555555,5.555555555555555
critical_findings,0.05555555555555555,5.555555555555555
swa_used,0.05555555555555555,5.555555555555555
sci_trend_4wk,0.05555555555555555,5.555555555555555
sci_below_60,0.05555555555555555,5.555555555555555
consecutive_low_sci_weeks,0.05555555555555555,5.555555555555555
risk_profile_score,0.05555555555555555,5.555555555555555
